block_id,candidate_artifact_sha256,candidate_id,canonical_model_visible_payload_sha256,canonical_output_sha256,condition,domain,final_source,global_sequence_index,hard_contract_vector,operational_success,paper_id,private_score,raw_response_sha256,registry_id,result_source_sha256,row_valid,task_id,terminal_outcome,variant_id
1,df86e02a4539411b48ef506ac7131cf263b8646a3e3d2fa0451c404a60b34a9a,control_positive_reference,47868a7bf2cece7fdc05d2d8820d44ae342888e87e7dfb652f3b64f6b700071d,396a02cfa7660f9bcfb9ffaef095d77cb32feda65463029ff786c06b23a4e44c,F,nlp,payload_interface_successor,433,"[true,true]",1,nlp_llmlingua,1.0,7e432ddd59953c8cdfac25903e62ead7681bc878a5b8deac97868e8b61d674ed,A,f45e73ac81efc652fce7b53d85f34cdcfe8cd91371b908681f93d729ec9dc5f6,True,NLP-LLM-01,operational_success,planted_redundancy_positive
1,df86e02a4539411b48ef506ac7131cf263b8646a3e3d2fa0451c404a60b34a9a,F,47868a7bf2cece7fdc05d2d8820d44ae342888e87e7dfb652f3b64f6b700071d,0c01b93ed18e9ae18b52135bcf538533b6f4cfcab74ea4c8da65446536a3407a,C,nlp,fg5_exact_output_direct,434,"[true,true]",1,nlp_llmlingua,1.0,e57f597d70425f0c20bd5c357028fe3c46a47d74e5439261ae12a9949cd8f9af,A,f33a0477bdac0521fe19cc3b118bd16f714eff9f97d66b5c1d2115939debc5a1,True,NLP-LLM-01,operational_success,planted_redundancy_positive
2,df86e02a4539411b48ef506ac7131cf263b8646a3e3d2fa0451c404a60b34a9a,F,47868a7bf2cece7fdc05d2d8820d44ae342888e87e7dfb652f3b64f6b700071d,068d04a1b681b050db21f643692d34816f797cd2be841c879a3ab325c928408c,C,nlp,payload_interface_successor,435,"[true,true]",1,nlp_llmlingua,1.0,061ea4cd3a80d7a1f835d2ca7b39e7074d66cd526f45dd6621d8b5ff8c060ba5,A,7f494200b9e7fe4575a1195294a6c16cc14697db4f8bfff59af91e8516439efb,True,NLP-LLM-01,operational_success,planted_redundancy_positive
2,df86e02a4539411b48ef506ac7131cf263b8646a3e3d2fa0451c404a60b34a9a,control_positive_reference,47868a7bf2cece7fdc05d2d8820d44ae342888e87e7dfb652f3b64f6b700071d,616b08d69ba258da271d91ad88b89394894f538ca58511aaac35eeff4a4e1a2f,F,nlp,fg5_exact_output_direct,436,"[true,true]",1,nlp_llmlingua,1.0,bc5af3ef520887413840cbd4f4ae8c0c9da542a90485a7717970ad983e42cc88,A,f6e29357932f6f5a3b7bbd25c3ced149a87a8e30c06fc79ac71f34e12790363a,True,NLP-LLM-01,operational_success,planted_redundancy_positive
3,df86e02a4539411b48ef506ac7131cf263b8646a3e3d2fa0451c404a60b34a9a,control_positive_reference,47868a7bf2cece7fdc05d2d8820d44ae342888e87e7dfb652f3b64f6b700071d,dae43954bca7c719be99770ffb76ad15ebe7130d0574d4e9a7bec06fdccd74b6,F,nlp,fg5_exact_output_direct,437,"[true,true]",1,nlp_llmlingua,1.0,9b8546171ac1f048e638f27641b9473f215c31ebaa94c9f343ee872d1ac0f67d,A,22563ae5b2eca56f4e5a76f29e9aa0c20077ce1485dfbd6631fe7390f0397f79,True,NLP-LLM-01,operational_success,planted_redundancy_positive
3,df86e02a4539411b48ef506ac7131cf263b8646a3e3d2fa0451c404a60b34a9a,F,47868a7bf2cece7fdc05d2d8820d44ae342888e87e7dfb652f3b64f6b700071d,8ed9fa83d6b7be27ee588a583f1bf16fe6af1e1b38b6809ba28193e824a8fa57,C,nlp,fg5_exact_output_direct,438,"[true,true]",1,nlp_llmlingua,1.0,4b0f2cde26b90a47941bf91906ab3b2fad8bb6c52c07a813638fb9f1eba2f775,A,9a8bdb55cdf825ac3f7b4db06a3a4ca88a7c152f4273f657c760c6f40c6352ab,True,NLP-LLM-01,operational_success,planted_redundancy_positive
4,df86e02a4539411b48ef506ac7131cf263b8646a3e3d2fa0451c404a60b34a9a,F,e467d8a9c5f07e3f80c2f17e3296436d3ca3d10ca25a5b1aee48d2d475e9c215,4938351e3685ec9a40e29726445cd76bc39dc91578a6b51b551efa26cc1cfba6,C,nlp,fg3_retained,439,"[false,false]",0,nlp_llmlingua,0.0,57862e482692e44a36a589fbfb96eb679dc66963fb8230348e0fab54ea37440a,B,677111d2efda26806cc86629051352ed72283b9c695935d1f3c038c9c2687c44,True,NLP-LLM-01,hard_contract_failure,planted_redundancy_positive
4,df86e02a4539411b48ef506ac7131cf263b8646a3e3d2fa0451c404a60b34a9a,control_positive_reference,e467d8a9c5f07e3f80c2f17e3296436d3ca3d10ca25a5b1aee48d2d475e9c215,3854a12a5b3b2cc53c3cd98b50c85f5087b01487da22e549723ef0018d484508,F,nlp,fg3_retained,440,"[false,false]",0,nlp_llmlingua,0.0,134c6c68d9c24707ce39d6dc8f72bcfbf462934290ebe51de7ffe004889bed50,B,87cfc951866b011f193f9aed481625c8901bfa3a91753489d68ef703793ee792,True,NLP-LLM-01,hard_contract_failure,planted_redundancy_positive
5,df86e02a4539411b48ef506ac7131cf263b8646a3e3d2fa0451c404a60b34a9a,control_positive_reference,e467d8a9c5f07e3f80c2f17e3296436d3ca3d10ca25a5b1aee48d2d475e9c215,0ed8dbdce6d659850aff84d22f7854a89a777e67c1cfb2ddb0040578d379bff4,F,nlp,fg5_exact_output_direct,441,"[true,true]",1,nlp_llmlingua,1.0,3fa3f214c4a28c4dd04cf6e3396be38f67929d4794ba43829e482ee056fa5929,B,b9807e4ef782e70c46d4c15c089c87cecb6ac9897eba052dd0483cf4843a95d0,True,NLP-LLM-01,operational_success,planted_redundancy_positive
5,df86e02a4539411b48ef506ac7131cf263b8646a3e3d2fa0451c404a60b34a9a,F,e467d8a9c5f07e3f80c2f17e3296436d3ca3d10ca25a5b1aee48d2d475e9c215,4555822a64d478a0174c1701747cfda083926aeb936c6b278955663416d274f2,C,nlp,fg5_exact_output_direct,442,"[true,true]",1,nlp_llmlingua,1.0,37b216d7e3709d80a13aee705969ff834db263a30105733700e2648fa3a087ac,B,628d138d41b4234db478a99d91ad71ef530427512bb7fa250ae9ae8685fb3ebf,True,NLP-LLM-01,operational_success,planted_redundancy_positive
