paper_id,domain,task_id,contrast,endpoint,effect,registered_pairs,valid_pairs,raw_block_min,raw_block_max
agent_react,agent_tool_use,AGENT-RA-01,F_minus_B,operational_success,0.5,6,6,0.0,1.0
agent_react,agent_tool_use,AGENT-RA-01,F_minus_B,private_score,0.3958333333333333,6,6,0.0,1.0
agent_react,agent_tool_use,AGENT-RA-01,S_minus_B,operational_success,0.5,6,6,0.0,1.0
agent_react,agent_tool_use,AGENT-RA-01,S_minus_B,private_score,0.4973958333333333,6,6,0.1875,1.0
agent_react,agent_tool_use,AGENT-RA-01,S_minus_F,operational_success,0.0,6,6,-1.0,1.0
agent_react,agent_tool_use,AGENT-RA-01,S_minus_F,private_score,0.1015625,6,6,-0.734375,1.0
agent_react,agent_tool_use,AGENT-RA-01,F_minus_S,operational_success,0.0,6,6,-1.0,1.0
agent_react,agent_tool_use,AGENT-RA-01,F_minus_S,private_score,-0.1015625,6,6,-1.0,0.734375
agent_react,agent_tool_use,AGENT-RA-02,F_minus_B,operational_success,0.3333333333333333,6,6,0.0,1.0
agent_react,agent_tool_use,AGENT-RA-02,F_minus_B,private_score,0.3333333333333333,6,6,0.0,1.0
agent_react,agent_tool_use,AGENT-RA-02,S_minus_B,operational_success,0.0,6,6,0.0,0.0
agent_react,agent_tool_use,AGENT-RA-02,S_minus_B,private_score,0.0,6,6,0.0,0.0
agent_react,agent_tool_use,AGENT-RA-02,S_minus_F,operational_success,-0.3333333333333333,6,6,-1.0,0.0
agent_react,agent_tool_use,AGENT-RA-02,S_minus_F,private_score,-0.3333333333333333,6,6,-1.0,0.0
agent_react,agent_tool_use,AGENT-RA-02,F_minus_S,operational_success,0.3333333333333333,6,6,0.0,1.0
agent_react,agent_tool_use,AGENT-RA-02,F_minus_S,private_score,0.3333333333333333,6,6,0.0,1.0
agent_reflexion,agent_tool_use,AGENT-RF-01,F_minus_B,operational_success,0.0,6,6,0.0,0.0
agent_reflexion,agent_tool_use,AGENT-RF-01,F_minus_B,private_score,0.1171875,6,6,-0.03125,0.328125
agent_reflexion,agent_tool_use,AGENT-RF-01,S_minus_B,operational_success,0.3333333333333333,6,6,0.0,1.0
agent_reflexion,agent_tool_use,AGENT-RF-01,S_minus_B,private_score,0.5260416666666666,6,6,-0.296875,1.0
agent_reflexion,agent_tool_use,AGENT-RF-01,S_minus_F,operational_success,0.3333333333333333,6,6,0.0,1.0
agent_reflexion,agent_tool_use,AGENT-RF-01,S_minus_F,private_score,0.4088541666666667,6,6,-0.578125,1.0
agent_reflexion,agent_tool_use,AGENT-RF-01,F_minus_S,operational_success,-0.3333333333333333,6,6,-1.0,0.0
agent_reflexion,agent_tool_use,AGENT-RF-01,F_minus_S,private_score,-0.4088541666666667,6,6,-1.0,0.578125
