paper_id,task_id,domain,registry_id,paired_blocks,F_minus_B_operational_success,S_minus_B_operational_success,S_minus_F_operational_success,F_minus_B_private_score,S_minus_B_private_score,S_minus_F_private_score
agent_react,AGENT-RA-01,agent_tool_use,A,3,0.3333333333333333,1.0,0.6666666666666667,0.125,0.7291666666666667,0.6041666666666667
agent_react,AGENT-RA-01,agent_tool_use,B,3,0.6666666666666666,0.0,-0.6666666666666666,0.6666666666666666,0.265625,-0.40104166666666663
agent_react,AGENT-RA-02,agent_tool_use,A,3,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333
agent_react,AGENT-RA-02,agent_tool_use,B,3,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333
agent_reflexion,AGENT-RF-01,agent_tool_use,A,3,0.0,0.3333333333333333,0.3333333333333333,0.08333333333333334,0.41666666666666663,0.33333333333333326
agent_reflexion,AGENT-RF-01,agent_tool_use,B,3,0.0,0.3333333333333333,0.3333333333333333,0.15104166666666669,0.6354166666666666,0.484375
agent_reflexion,AGENT-RF-02,agent_tool_use,A,3,0.0,0.0,0.0,0.19791666666666666,0.0,-0.19791666666666666
agent_reflexion,AGENT-RF-02,agent_tool_use,B,3,0.0,0.0,0.0,-0.16666666666666666,-0.16666666666666666,0.0
agent_toolformer,AGENT-TF-01,agent_tool_use,A,3,0.0,0.0,0.0,0.0,0.0,0.0
agent_toolformer,AGENT-TF-01,agent_tool_use,B,3,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333
agent_toolformer,AGENT-TF-02,agent_tool_use,A,3,0.0,0.0,0.0,0.0,0.0,0.0
agent_toolformer,AGENT-TF-02,agent_tool_use,B,3,-0.33333333333333337,0.0,0.33333333333333337,-0.33333333333333337,0.0,0.33333333333333337
data_hdbscan,DATA-HDB-01,data_analysis,A,3,0.0,0.0,0.0,0.20833333333333337,0.20833333333333337,0.0
data_hdbscan,DATA-HDB-01,data_analysis,B,3,0.0,0.0,0.0,-0.5833333333333333,0.0,0.5833333333333333
data_hdbscan,DATA-HDB-02,data_analysis,A,3,0.0,0.0,0.0,0.0,0.0,0.0
data_hdbscan,DATA-HDB-02,data_analysis,B,3,0.0,0.0,0.0,0.0,0.0,0.0
data_leiden,DATA-LEI-01,data_analysis,A,3,0.0,0.0,0.0,0.015625,-0.11458333333333334,-0.13020833333333334
data_leiden,DATA-LEI-01,data_analysis,B,3,0.3333333333333333,0.3333333333333333,0.0,0.5260416666666667,0.5260416666666667,0.0
data_leiden,DATA-LEI-02,data_analysis,A,3,1.0,1.0,0.0,1.0,1.0,0.0
