paper_id,task_id,domain,execution_family,variant_id,model_slot_id,paired_blocks,candidate_minus_F_operational_success,candidate_minus_F_private_score,candidate_success_rate,F_success_rate,candidate_score_mean,F_score_mean
agent_toolformer,AGENT-TF-01,agent_tool_use,alternate_reducers,dag_greedy_ratio_60_v1,deepseek_primary,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
data_hdbscan,DATA-HDB-01,data_analysis,alternate_reducers,dag_greedy_ratio_60_v1,deepseek_primary,6,0.0,0.0,0.0,0.0,0.796875,0.796875
nlp_llmlingua,NLP-LLM-01,nlp,alternate_reducers,dag_greedy_ratio_60_v1,deepseek_primary,6,0.16666666666666663,0.16666666666666663,1.0,0.8333333333333334,1.0,0.8333333333333334
se_perses,SE-PE-01,software_engineering,alternate_reducers,dag_greedy_ratio_60_v1,deepseek_primary,6,0.16666666666666669,0.16666666666666669,0.5,0.3333333333333333,0.5,0.3333333333333333
agent_toolformer,AGENT-TF-01,agent_tool_use,alternate_reducers,source_window_ratio_60_v1,deepseek_primary,6,0.5,0.5,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666
data_hdbscan,DATA-HDB-01,data_analysis,alternate_reducers,source_window_ratio_60_v1,deepseek_primary,6,0.0,-0.14583333333333337,0.0,0.0,0.6510416666666666,0.796875
nlp_llmlingua,NLP-LLM-01,nlp,alternate_reducers,source_window_ratio_60_v1,deepseek_primary,6,0.0,0.0,1.0,1.0,1.0,1.0
se_perses,SE-PE-01,software_engineering,alternate_reducers,source_window_ratio_60_v1,deepseek_primary,6,0.33333333333333337,0.33333333333333337,0.5,0.16666666666666666,0.5,0.16666666666666666
agent_toolformer,AGENT-TF-01,agent_tool_use,primary,primary_dag_ratio_60_v1,deepseek_primary,6,-0.16666666666666666,-0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
data_hdbscan,DATA-HDB-01,data_analysis,primary,primary_dag_ratio_60_v1,deepseek_primary,6,0.0,0.29166666666666663,0.0,0.0,0.796875,0.5052083333333334
nlp_llmlingua,NLP-LLM-01,nlp,primary,primary_dag_ratio_60_v1,deepseek_primary,6,0.5,0.36197916666666663,1.0,0.5,1.0,0.6380208333333334
se_perses,SE-PE-01,software_engineering,primary,primary_dag_ratio_60_v1,deepseek_primary,6,-0.16666666666666666,-0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333
agent_toolformer,AGENT-TF-01,agent_tool_use,structural_ladder,L0_primary_slice,deepseek_primary,6,0.16666666666666669,0.16666666666666669,0.5,0.3333333333333333,0.5,0.3333333333333333
data_hdbscan,DATA-HDB-01,data_analysis,structural_ladder,L0_primary_slice,deepseek_primary,6,0.0,0.0,0.0,0.0,0.796875,0.796875
nlp_llmlingua,NLP-LLM-01,nlp,structural_ladder,L0_primary_slice,deepseek_primary,6,0.33333333333333337,0.33333333333333337,1.0,0.6666666666666666,1.0,0.6666666666666666
se_perses,SE-PE-01,software_engineering,structural_ladder,L0_primary_slice,deepseek_primary,6,0.33333333333333337,0.5,0.5,0.16666666666666666,0.6666666666666666,0.16666666666666666
agent_toolformer,AGENT-TF-01,agent_tool_use,structural_ladder,L1_mid_restore,deepseek_primary,6,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
data_hdbscan,DATA-HDB-01,data_analysis,structural_ladder,L1_mid_restore,deepseek_primary,6,0.0,0.0,0.0,0.0,0.796875,0.796875
nlp_llmlingua,NLP-LLM-01,nlp,structural_ladder,L1_mid_restore,deepseek_primary,6,0.16666666666666674,0.16666666666666674,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.6666666666666666
se_perses,SE-PE-01,software_engineering,structural_ladder,L1_mid_restore,deepseek_primary,6,0.6666666666666667,0.6666666666666667,1.0,0.3333333333333333,1.0,0.3333333333333333
agent_toolformer,AGENT-TF-01,agent_tool_use,structural_ladder,L2_near_full_strict,deepseek_primary,6,-0.16666666666666666,-0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
data_hdbscan,DATA-HDB-01,data_analysis,structural_ladder,L2_near_full_strict,deepseek_primary,6,0.0,0.0,0.0,0.0,0.796875,0.796875
nlp_llmlingua,NLP-LLM-01,nlp,structural_ladder,L2_near_full_strict,deepseek_primary,6,0.0,0.13802083333333326,0.8333333333333334,0.8333333333333334,0.9713541666666666,0.8333333333333334
se_perses,SE-PE-01,software_engineering,structural_ladder,L2_near_full_strict,deepseek_primary,6,0.5,0.5,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666
