paper_id,domain,task_id,omitted_block_id,omitted_registry_id,registered_six_block_state,five_block_state,differs_from_registered,primary_reject_reason,failed_reason_groups,failed_gates,B_successes,F_successes,S_successes,valid_margin_blocks
agent_react,agent_tool_use,AGENT-RA-01,1,A,Reject,Reject,False,full-insufficient,"[""full-insufficient"",""slice-insufficient"",""margin-shortfall""]","[""total_F_successes_>=_4"",""total_S_successes_>=_4"",""total_valid_margin_blocks_>=_4""]",0,3,2,3
agent_react,agent_tool_use,AGENT-RA-01,2,A,Reject,Reject,False,full-insufficient,"[""full-insufficient"",""slice-insufficient"",""margin-shortfall""]","[""total_F_successes_>=_4"",""total_S_successes_>=_4"",""total_valid_margin_blocks_>=_4""]",0,2,2,3
agent_react,agent_tool_use,AGENT-RA-01,3,A,Reject,Reject,False,full-insufficient,"[""full-insufficient"",""slice-insufficient"",""margin-shortfall""]","[""total_F_successes_>=_4"",""total_S_successes_>=_4"",""total_valid_margin_blocks_>=_4""]",0,3,2,3
agent_react,agent_tool_use,AGENT-RA-01,4,B,Reject,Reject,False,full-insufficient,"[""full-insufficient"",""slice-insufficient""]","[""total_F_successes_>=_4"",""total_S_successes_>=_4""]",0,2,3,4
agent_react,agent_tool_use,AGENT-RA-01,5,B,Reject,Reject,False,full-insufficient,"[""full-insufficient"",""slice-insufficient""]","[""total_F_successes_>=_4"",""total_S_successes_>=_4""]",0,2,3,4
agent_react,agent_tool_use,AGENT-RA-01,6,B,Reject,Reject,False,full-insufficient,"[""full-insufficient"",""slice-insufficient"",""margin-shortfall""]","[""total_F_successes_>=_4"",""total_S_successes_>=_4"",""total_valid_margin_blocks_>=_4""]",0,3,3,3
agent_react,agent_tool_use,AGENT-RA-02,1,A,Reject,Reject,False,full-insufficient,"[""full-insufficient"",""slice-insufficient"",""margin-shortfall""]","[""total_F_successes_>=_4"",""total_S_successes_>=_4"",""total_valid_margin_blocks_>=_4""]",0,2,0,3
agent_react,agent_tool_use,AGENT-RA-02,2,A,Reject,Reject,False,full-insufficient,"[""full-insufficient"",""slice-insufficient""]","[""total_F_successes_>=_4"",""total_S_successes_>=_4""]",0,1,0,4
agent_react,agent_tool_use,AGENT-RA-02,3,A,Reject,Reject,False,full-insufficient,"[""full-insufficient"",""slice-insufficient"",""margin-shortfall""]","[""total_F_successes_>=_4"",""total_S_successes_>=_4"",""total_valid_margin_blocks_>=_4""]",0,2,0,3
agent_react,agent_tool_use,AGENT-RA-02,4,B,Reject,Reject,False,full-insufficient,"[""full-insufficient"",""slice-insufficient""]","[""total_F_successes_>=_4"",""total_S_successes_>=_4""]",0,1,0,4
agent_react,agent_tool_use,AGENT-RA-02,5,B,Reject,Reject,False,full-insufficient,"[""full-insufficient"",""slice-insufficient"",""margin-shortfall""]","[""total_F_successes_>=_4"",""total_S_successes_>=_4"",""total_valid_margin_blocks_>=_4""]",0,2,0,3
agent_react,agent_tool_use,AGENT-RA-02,6,B,Reject,Reject,False,full-insufficient,"[""full-insufficient"",""slice-insufficient"",""margin-shortfall""]","[""total_F_successes_>=_4"",""total_S_successes_>=_4"",""total_valid_margin_blocks_>=_4""]",0,2,0,3
agent_reflexion,agent_tool_use,AGENT-RF-01,1,A,Reject,Reject,False,full-insufficient,"[""full-insufficient"",""slice-insufficient""]","[""total_F_successes_>=_4"",""total_S_successes_>=_4""]",0,0,1,4
agent_reflexion,agent_tool_use,AGENT-RF-01,2,A,Reject,Reject,False,full-insufficient,"[""full-insufficient"",""slice-insufficient""]","[""total_F_successes_>=_4"",""total_S_successes_>=_4""]",0,0,2,4
agent_reflexion,agent_tool_use,AGENT-RF-01,3,A,Reject,Reject,False,full-insufficient,"[""full-insufficient"",""slice-insufficient""]","[""total_F_successes_>=_4"",""total_S_successes_>=_4""]",0,0,2,5
agent_reflexion,agent_tool_use,AGENT-RF-01,4,B,Reject,Reject,False,full-insufficient,"[""full-insufficient"",""slice-insufficient""]","[""total_F_successes_>=_4"",""total_S_successes_>=_4""]",0,0,2,4
agent_reflexion,agent_tool_use,AGENT-RF-01,5,B,Reject,Reject,False,full-insufficient,"[""full-insufficient"",""slice-insufficient""]","[""total_F_successes_>=_4"",""total_S_successes_>=_4""]",0,0,2,4
agent_reflexion,agent_tool_use,AGENT-RF-01,6,B,Reject,Reject,False,full-insufficient,"[""full-insufficient"",""slice-insufficient""]","[""total_F_successes_>=_4"",""total_S_successes_>=_4""]",0,0,1,4
agent_reflexion,agent_tool_use,AGENT-RF-02,1,A,Reject,Reject,False,full-insufficient,"[""full-insufficient"",""slice-insufficient""]","[""total_F_successes_>=_4"",""total_S_successes_>=_4""]",0,0,0,4
agent_reflexion,agent_tool_use,AGENT-RF-02,2,A,Reject,Reject,False,full-insufficient,"[""full-insufficient"",""slice-insufficient""]","[""total_F_successes_>=_4"",""total_S_successes_>=_4""]",0,0,0,4
agent_reflexion,agent_tool_use,AGENT-RF-02,3,A,Reject,Reject,False,full-insufficient,"[""full-insufficient"",""slice-insufficient""]","[""total_F_successes_>=_4"",""total_S_successes_>=_4""]",0,0,0,5
agent_reflexion,agent_tool_use,AGENT-RF-02,4,B,Reject,Reject,False,full-insufficient,"[""full-insufficient"",""slice-insufficient""]","[""total_F_successes_>=_4"",""total_S_successes_>=_4""]",0,0,0,4
agent_reflexion,agent_tool_use,AGENT-RF-02,5,B,Reject,Reject,False,full-insufficient,"[""full-insufficient"",""slice-insufficient""]","[""total_F_successes_>=_4"",""total_S_successes_>=_4""]",0,0,0,4
agent_reflexion,agent_tool_use,AGENT-RF-02,6,B,Reject,Reject,False,full-insufficient,"[""full-insufficient"",""slice-insufficient""]","[""total_F_successes_>=_4"",""total_S_successes_>=_4""]",0,0,0,4
agent_toolformer,agent_tool_use,AGENT-TF-01,1,A,Reject,Reject,False,full-insufficient,"[""full-insufficient"",""slice-insufficient""]","[""total_F_successes_>=_4"",""total_S_successes_>=_4""]",0,1,0,4
agent_toolformer,agent_tool_use,AGENT-TF-01,2,A,Reject,Reject,False,full-insufficient,"[""full-insufficient"",""slice-insufficient""]","[""total_F_successes_>=_4"",""total_S_successes_>=_4""]",0,1,0,4
agent_toolformer,agent_tool_use,AGENT-TF-01,3,A,Reject,Reject,False,full-insufficient,"[""full-insufficient"",""slice-insufficient""]","[""total_F_successes_>=_4"",""total_S_successes_>=_4""]",0,1,0,4
agent_toolformer,agent_tool_use,AGENT-TF-01,4,B,Reject,Reject,False,full-insufficient,"[""full-insufficient"",""slice-insufficient""]","[""total_F_successes_>=_4"",""total_S_successes_>=_4""]",0,0,0,5
agent_toolformer,agent_tool_use,AGENT-TF-01,5,B,Reject,Reject,False,full-insufficient,"[""full-insufficient"",""slice-insufficient""]","[""total_F_successes_>=_4"",""total_S_successes_>=_4""]",0,1,0,4
